Alpha,T1_Re1.000_M0.00_N9.0, , Alpha,T1_Re2.000_M0.00_N9.0, , Alpha,T1_Re3.000_M0.00_N9.0, , Alpha,T1_Re4.000_M0.00_N9.0, , Alpha,T1_Re5.000_M0.00_N9.0, , Alpha,T1_Re6.000_M0.00_N9.0, , Alpha,T1_Re7.000_M0.00_N9.0, , Alpha,T1_Re8.000_M0.00_N9.0, , Alpha,T1_Re9.000_M0.00_N9.0, , Alpha,T1_Re10.000_M0.00_N9.0, , 
        -10.8,    -0.9265627, ,           -11,    -0.9517053, ,           -11,    -0.9677799, ,           -11,    -0.9766827, ,           -11,    -0.9802921, ,         -10.8,    -0.9574559, ,           -11,    -0.9818891, ,         -10.8,    -0.9567011, ,         -10.8,    -0.9559973, ,         -10.6,    -0.9294974, , 
        -10.6,    -0.9079678, ,         -10.8,    -0.9323341, ,         -10.8,    -0.9465724, ,         -10.8,    -0.9540822, ,         -10.8,    -0.9568903, ,         -10.4,     -0.908406, ,         -10.8,    -0.9572797, ,         -10.4,    -0.9060495, ,         -10.6,    -0.9304492, ,         -10.4,    -0.9035854, , 
        -10.4,    -0.8850275, ,         -10.6,    -0.9123534, ,         -10.6,    -0.9248201, ,         -10.4,    -0.9076155, ,         -10.6,    -0.9329332, ,         -10.2,    -0.8835847, ,         -10.6,    -0.9324998, ,         -10.2,    -0.8805808, ,         -10.4,    -0.9047225, ,         -10.2,    -0.8775747, , 
        -10.2,    -0.8602263, ,         -10.4,    -0.8921238, ,         -10.4,    -0.9029366, ,         -10.2,    -0.8840342, ,         -10.4,    -0.9087899, ,           -10,    -0.8583898, ,         -10.4,    -0.9073467, ,           -10,     -0.854912, ,         -10.2,    -0.8789818, ,          -9.8,    -0.8261033, , 
          -10,    -0.8347838, ,         -10.2,       -0.8715, ,         -10.2,    -0.8807963, ,           -10,     -0.860014, ,         -10.2,    -0.8843483, ,          -9.8,    -0.8332204, ,         -10.2,    -0.8821763, ,          -9.6,    -0.8035799, ,           -10,    -0.8532571, ,          -9.6,    -0.8007188, , 
         -9.8,    -0.8124341, ,          -9.8,    -0.8284736, ,           -10,    -0.8578221, ,          -9.8,    -0.8357356, ,           -10,    -0.8597379, ,          -9.6,    -0.8077046, ,           -10,    -0.8566902, ,          -9.4,    -0.7780238, ,          -9.8,    -0.8275564, ,          -9.4,    -0.7753471, , 
         -9.6,    -0.7897472, ,          -9.6,    -0.8062296, ,          -9.8,    -0.8345774, ,          -9.4,    -0.7863396, ,          -9.8,    -0.8349361, ,          -9.4,    -0.7822442, ,          -9.8,    -0.8312276, ,          -9.2,    -0.7525228, ,          -9.6,    -0.8019527, ,          -9.2,    -0.7500688, , 
         -9.4,     -0.765534, ,          -9.4,    -0.7835209, ,          -9.6,    -0.8109608, ,          -9.2,    -0.7612752, ,          -9.6,    -0.8098116, ,          -9.2,    -0.7565552, ,          -9.6,    -0.8055305, ,            -9,    -0.7272086, ,          -9.4,    -0.7765136, ,            -9,    -0.7246906, , 
         -9.2,     -0.744261, ,          -9.2,    -0.7603738, ,          -9.4,    -0.7867705, ,            -9,    -0.7357887, ,          -9.4,    -0.7846262, ,          -8.8,    -0.7053887, ,          -9.4,    -0.7799349, ,          -8.8,     -0.701829, ,          -9.2,    -0.7512047, ,          -8.8,    -0.6993209, , 
           -9,    -0.7225571, ,          -8.8,    -0.7132527, ,          -9.2,    -0.7624413, ,          -8.8,    -0.7102318, ,          -9.2,    -0.7592098, ,          -8.4,     -0.654348, ,          -9.2,    -0.7542748, ,          -8.2,     -0.625712, ,            -9,    -0.7258346, ,          -8.6,    -0.6738769, , 
