Alpha,T1_Re1.000_M0.00_N9.0, , Alpha,T1_Re2.000_M0.00_N9.0, , Alpha,T1_Re3.000_M0.00_N9.0, , Alpha,T1_Re4.000_M0.00_N9.0, , Alpha,T1_Re5.000_M0.00_N9.0, , Alpha,T1_Re6.000_M0.00_N9.0, , Alpha,T1_Re7.000_M0.00_N9.0, , Alpha,T1_Re8.000_M0.00_N9.0, , Alpha,T1_Re9.000_M0.00_N9.0, , Alpha,T1_Re10.000_M0.00_N9.0, , 
        -11.8,     -1.081192, ,         -12.4,     -1.173248, ,         -12.8,     -1.174971, ,         -12.8,     -1.218547, ,         -12.8,     -1.240349, ,         -12.8,     -1.253541, ,         -12.8,     -1.261946, ,         -12.8,     -1.267201, ,         -12.8,      -1.27029, ,         -12.8,     -1.271973, , 
        -11.6,     -1.072441, ,         -12.2,     -1.163096, ,         -12.6,     -1.158136, ,         -12.6,      -1.19931, ,         -12.6,     -1.220262, ,         -12.6,     -1.232927, ,         -12.6,     -1.240976, ,         -12.6,     -1.245965, ,         -12.6,     -1.248832, ,         -12.6,     -1.250313, , 
        -11.4,     -1.062127, ,           -12,     -1.150017, ,         -12.4,     -1.141333, ,         -12.4,     -1.179986, ,         -12.4,     -1.200205, ,         -12.4,      -1.21238, ,         -12.4,     -1.220067, ,         -12.4,      -1.22477, ,         -12.4,     -1.227386, ,         -12.4,     -1.228639, , 
        -11.2,     -1.050431, ,         -11.8,     -1.135473, ,         -12.2,     -1.121625, ,         -12.2,     -1.160841, ,         -12.2,     -1.180252, ,         -12.2,     -1.191943, ,         -12.2,     -1.199248, ,         -12.2,     -1.203635, ,         -12.2,     -1.205969, ,         -12.2,     -1.206963, , 
          -11,     -1.037533, ,         -11.6,     -1.119751, ,           -12,     -1.099737, ,           -12,      -1.14197, ,           -12,     -1.161345, ,           -12,     -1.171798, ,           -12,      -1.17858, ,           -12,     -1.182586, ,           -12,     -1.184592, ,           -12,     -1.185288, , 
        -10.8,     -1.023591, ,         -11.4,     -1.103157, ,         -11.8,     -1.114509, ,         -11.8,      -1.12163, ,         -11.8,     -1.141213, ,         -11.8,     -1.152033, ,         -11.8,     -1.158375, ,         -11.8,     -1.161852, ,         -11.8,      -1.16334, ,         -11.8,     -1.163598, , 
        -10.6,     -1.008741, ,         -11.2,     -1.085867, ,         -11.6,     -1.112631, ,         -11.6,      -1.10023, ,         -11.6,     -1.120931, ,         -11.6,     -1.131484, ,         -11.6,     -1.137483, ,         -11.6,     -1.140643, ,         -11.6,     -1.141842, ,         -11.6,     -1.141824, , 
        -10.4,    -0.9930936, ,           -11,     -1.067988, ,         -11.4,     -1.100123, ,         -11.2,     -1.078402, ,         -11.4,     -1.100279, ,         -11.4,     -1.110866, ,         -11.4,     -1.116597, ,         -11.4,     -1.119434, ,         -11.4,     -1.120298, ,         -11.4,     -1.119994, , 
        -10.2,    -0.9767316, ,         -10.8,     -1.049579, ,         -11.2,     -1.084689, ,           -11,     -1.064762, ,         -11.2,     -1.078829, ,         -11.2,     -1.090179, ,         -11.2,     -1.095736, ,         -11.2,      -1.09825, ,         -11.2,     -1.098749, ,         -11.2,     -1.098104, , 
          -10,    -0.9595823, ,         -10.6,     -1.030677, ,           -11,     -1.067675, ,         -10.8,     -1.048053, ,         -10.8,      -1.04822, ,           -11,     -1.069347, ,           -11,     -1.074908, ,           -11,     -1.077103, ,           -11,     -1.077202, ,           -11,     -1.076182, , 
         -9.8,    -0.9420789, ,         -10.4,     -1.011312, ,         -10.8,     -1.049615, ,         -10.6,     -1.029943, ,         -10.6,     -1.030349, ,         -10.8,     -1.048039, ,         -10.8,     -1.054108, ,         -10.8,     -1.056002, ,         -10.8,     -1.055664, ,         -10.8,     -1.054237, , 
         -9.6,    -0.9240161, ,         -10.2,    -0.9915527, ,         -10.6,     -1.030828, ,         -10.4,     -1.010979, ,         -10.4,     -1.011396, ,          -8.2,    -0.7608548, ,         -10.6,     -1.033289, ,         -10.6,      -1.03494, ,         -10.6,     -1.034134, ,         -10.6,     -1.032274, , 
         -9.4,    -0.9054556, ,           -10,    -0.9714481, ,         -10.4,     -1.011483, ,         -10.2,     -0.991414, ,         -10.2,    -0.9917769, ,            -8,    -0.7358511, ,         -10.4,     -1.012316, ,         -10.4,     -1.013906, ,         -10.4,     -1.012601, ,         -10.4,     -1.010301, , 
         -9.2,    -0.8864223, ,          -9.8,    -0.9510316, ,         -10.2,    -0.9916851, ,           -10,    -0.9713966, ,           -10,    -0.9717252, ,          -7.8,    -0.7107441, ,            -7,    -0.6027499, ,         -10.2,    -0.9929794, ,         -10.2,    -0.9910772, ,         -10.2,    -0.9883358, , 
           -9,    -0.8669072, ,          -9.6,    -0.9303258, ,           -10,    -0.9715108, ,          -9.8,     -0.951013, ,          -9.8,    -0.9513272, ,          -7.6,    -0.6854839, ,          -6.8,    -0.5772953, ,           -10,    -0.9723863, ,           -10,    -0.9697679, ,           -10,    -0.9664895, , 
         -8.8,    -0.8468838, ,          -9.4,     -0.909374, ,          -9.8,    -0.9510033, ,          -9.6,    -0.9302622, ,          -9.6,    -0.9305995, ,          -7.4,    -0.6601692, ,          -6.6,    -0.5516413, ,          -8.2,    -0.7514804, ,          -9.6,     -0.921431, ,          -9.6,     -0.918164, , 
         -8.6,    -0.8265681, ,          -9.2,    -0.8882097, ,          -9.6,    -0.9301595, ,          -9.4,     -0.909305, ,          -9.4,    -0.9096968, ,          -6.8,    -0.5819008, ,          -6.4,    -0.5258597, ,          -7.6,    -0.6758878, ,          -9.4,    -0.8970864, ,          -9.4,    -0.8936341, , 
         -8.4,    -0.8059923, ,            -9,     -0.866878, ,          -9.4,    -0.9090962, ,          -9.2,    -0.8881753, ,          -9.2,    -0.8886756, ,          -6.6,    -0.5561785, ,          -6.2,    -0.4998614, ,          -7.4,    -0.6496719, ,          -9.2,    -0.8725726, ,          -9.2,    -0.8689941, , 
         -8.2,    -0.7850587, ,          -8.8,    -0.8454187, ,          -9.2,    -0.8878546, ,            -9,    -0.8669122, ,            -9,    -0.8670364, ,          -6.4,    -0.5302423, ,            -6,    -0.4729577, ,          -7.2,     -0.624414, ,            -9,     -0.847819, ,            -9,    -0.8442395, , 
           -8,    -0.7638177, ,          -8.6,    -0.8238655, ,            -9,    -0.8664709, ,          -8.8,    -0.8455837, ,          -8.8,    -0.8421301, ,          -6.2,    -0.5035555, ,          -5.8,    -0.4483984, ,            -7,    -0.5991272, ,          -8.8,    -0.8228601, ,          -8.8,    -0.8193837, , 
         -7.8,    -0.7423567, ,          -8.4,     -0.802245, ,          -8.8,    -0.8449751, ,          -8.6,    -0.8242227, ,          -8.6,    -0.8170353, ,            -6,    -0.4775615, ,          -5.6,    -0.4242698, ,          -6.8,    -0.5736797, ,          -8.6,    -0.7977719, ,          -8.6,    -0.7944636, , 
         -7.6,    -0.7207657, ,          -8.2,    -0.7806031, ,          -8.6,    -0.8234176, ,            -8,    -0.7491677, ,          -8.4,    -0.7918094, ,          -5.8,    -0.4512749, ,          -5.4,    -0.4015614, ,          -6.6,    -0.5479732, ,          -8.4,    -0.7726367, ,          -8.4,    -0.7695665, , 
         -7.4,    -0.6991253, ,            -8,    -0.7589776, ,          -8.4,    -0.8018479, ,          -7.8,    -0.7233992, ,          -8.2,    -0.7665192, ,          -5.6,    -0.4250025, ,          -5.2,      -0.37883, ,          -6.4,    -0.5219277, ,          -8.2,    -0.7476523, ,          -8.2,    -0.7447939, , 
         -7.2,    -0.6775863, ,          -7.8,    -0.7373902, ,          -8.2,    -0.7802754, ,          -7.6,    -0.6976329, ,            -8,    -0.7412058, ,          -5.4,    -0.4005835, ,            -5,    -0.3564426, ,          -6.2,    -0.4962212, ,            -8,    -0.7227793, ,            -8,    -0.7199289, , 
           -7,    -0.6561328, ,          -7.6,    -0.7158638, ,            -8,    -0.7586303, ,          -7.4,     -0.671914, ,          -7.8,    -0.7158719, ,          -5.2,    -0.3765746, ,          -4.8,    -0.3336177, ,            -6,     -0.471939, ,          -7.8,     -0.697745, ,          -7.8,    -0.6947943, , 
         -6.8,    -0.6344207, ,          -7.4,    -0.6944141, ,          -7.8,    -0.7358306, ,          -7.2,    -0.6462344, ,          -7.6,    -0.6904398, ,            -5,    -0.3540936, ,          -4.6,    -0.3105507, ,          -5.8,    -0.4485617, ,          -7.6,    -0.6723711, ,          -7.6,    -0.6695647, , 
         -6.6,    -0.6122859, ,          -7.2,    -0.6730723, ,          -7.6,     -0.709769, ,            -7,    -0.6203672, ,          -7.4,    -0.6650545, ,          -4.8,    -0.3318006, ,          -4.4,    -0.2874659, ,          -5.6,     -0.426306, ,          -6.6,     -0.544394, ,          -7.2,    -0.6188192, , 
         -6.4,    -0.5918609, ,            -7,    -0.6518145, ,          -7.4,    -0.6836384, ,          -6.8,    -0.5944792, ,          -7.2,    -0.6393735, ,          -4.6,    -0.3093557, ,          -4.2,     -0.264119, ,          -5.4,    -0.4037677, ,          -6.4,    -0.5196608, ,            -7,    -0.5932533, , 
         -6.2,    -0.5700134, ,          -6.6,    -0.5984423, ,          -7.2,    -0.6574891, ,          -6.6,    -0.5685481, ,            -7,    -0.6135483, ,          -4.4,    -0.2866231, ,            -4,      -0.24049, ,          -5.2,    -0.3807291, ,          -6.2,    -0.4959403, ,          -6.8,    -0.5671988, , 
           -6,    -0.5490254, ,          -6.4,     -0.571703, ,            -7,    -0.6313239, ,          -6.4,    -0.5425091, ,          -6.8,    -0.5875795, ,          -4.2,    -0.2635104, ,          -3.6,    -0.1927157, ,            -5,    -0.3574937, ,            -6,    -0.4732016, ,          -6.6,    -0.5431543, , 
         -5.8,    -0.5282421, ,          -6.2,    -0.5451548, ,          -6.8,    -0.6051682, ,          -6.2,    -0.5155789, ,          -6.6,    -0.5616125, ,            -4,    -0.2402894, ,          -3.4,    -0.1687891, ,          -4.8,    -0.3342554, ,          -5.8,    -0.4506339, ,          -6.4,    -0.5197766, , 
         -5.6,    -0.5077049, ,            -6,    -0.5187849, ,          -6.6,    -0.5790168, ,            -6,    -0.4894481, ,          -6.4,    -0.5356092, ,          -3.8,    -0.2167166, ,          -3.2,    -0.1449958, ,          -4.6,    -0.3110312, ,          -5.6,     -0.428151, ,          -6.2,    -0.4974186, , 
         -5.4,     -0.486319, ,          -5.8,    -0.4924212, ,          -6.4,    -0.5522813, ,          -5.8,    -0.4631738, ,          -6.2,    -0.5095284, ,          -3.6,    -0.1929039, ,            -3,     -0.121069, ,          -4.2,    -0.2641771, ,          -5.4,    -0.4050782, ,            -6,    -0.4748044, , 
         -5.2,    -0.4584099, ,          -5.6,    -0.4657743, ,          -6.2,    -0.5261647, ,          -5.6,    -0.4370132, ,            -6,    -0.4825559, ,          -3.4,    -0.1691469, ,          -2.8,   -0.09713553, ,            -4,    -0.2403211, ,          -5.2,    -0.3817198, ,          -5.8,    -0.4520831, , 
           -5,    -0.4306914, ,          -5.4,    -0.4391074, ,            -6,    -0.4999292, ,          -5.4,    -0.4108089, ,          -5.8,    -0.4564179, ,          -3.2,    -0.1451768, ,          -2.6,    -0.0731326, ,          -3.8,    -0.2163202, ,            -5,    -0.3579634, ,          -5.6,    -0.4290647, , 
         -4.8,    -0.4030808, ,          -5.2,    -0.4123038, ,          -5.8,     -0.473764, ,          -5.2,    -0.3845347, ,          -5.6,    -0.4302233, ,            -3,    -0.1213479, ,          -2.4,   -0.04873835, ,          -3.6,    -0.1925158, ,          -4.8,    -0.3345674, ,          -5.4,     -0.405557, , 
         -4.6,    -0.3751988, ,            -5,    -0.3854194, ,          -5.6,    -0.4474792, ,            -5,    -0.3579582, ,          -5.4,    -0.4038152, ,          -2.8,   -0.09739136, ,          -2.2,   -0.02418408, ,          -3.4,    -0.1685198, ,          -4.6,    -0.3111832, ,          -5.2,    -0.3820893, , 
         -4.4,    -0.3474822, ,          -4.8,     -0.358386, ,          -5.4,     -0.421059, ,          -4.8,    -0.3314259, ,          -5.2,    -0.3779087, ,          -2.6,   -0.07313664, ,            -2,  -0.000243689, ,          -3.2,    -0.1447165, ,          -4.4,    -0.2876174, ,            -5,    -0.3584754, , 
         -4.2,     -0.319519, ,          -4.6,    -0.3311449, ,          -5.2,    -0.3944648, ,          -4.6,    -0.3067926, ,            -5,    -0.3534698, ,          -2.4,    -0.0484818, ,          -1.8,    0.02309924, ,            -3,    -0.1208263, ,          -4.2,    -0.2639097, ,          -4.8,    -0.3346597, , 
           -4,    -0.2913241, ,          -4.4,    -0.3038943, ,            -5,    -0.3677924, ,          -4.4,    -0.2817147, ,          -4.8,     -0.329354, ,          -2.2,   -0.02414344, ,          -1.6,     0.0463416, ,          -2.8,   -0.09697044, ,            -4,    -0.2401084, ,          -4.6,    -0.3110698, , 
         -3.8,    -0.2627906, ,          -4.2,    -0.2764693, ,          -4.8,    -0.3410808, ,          -4.2,    -0.2585618, ,          -4.6,    -0.3066667, ,          -1.8,    0.02405458, ,          -1.4,     0.0703905, ,          -2.4,   -0.04876982, ,          -3.8,    -0.2160842, ,          -4.4,    -0.2874156, , 
         -3.4,     -0.203915, ,            -4,    -0.2488917, ,          -4.6,    -0.3142404, ,            -4,    -0.2359402, ,          -4.4,    -0.2842022, ,          -1.6,    0.04747236, ,          -1.2,    0.09468173, ,          -2.2,   -0.02447653, ,          -3.6,    -0.1922159, ,          -4.2,    -0.2636471, , 
         -3.2,     -0.173971, ,          -3.8,    -0.2209031, ,          -4.4,    -0.2869588, ,          -3.8,    -0.2140106, ,          -4.2,    -0.2617702, ,          -1.4,    0.07128018, ,            -1,     0.1189953, ,          -1.8,    0.02224027, ,          -3.4,    -0.1683844, ,            -4,    -0.2398396, , 
           -3,    -0.1437307, ,          -3.6,    -0.1944216, ,          -4.2,    -0.2615859, ,          -3.6,    -0.1915745, ,            -4,    -0.2392898, ,          -1.2,    0.09524688, ,          -0.8,     0.1434607, ,          -1.6,    0.04598211, ,          -3.2,    -0.1444344, ,          -3.8,    -0.2158727, , 
         -2.8,    -0.1125431, ,          -3.4,    -0.1677186, ,            -4,     -0.235784, ,          -3.4,    -0.1686146, ,          -3.8,    -0.2161198, ,            -1,     0.1196642, ,          -0.6,     0.1677229, ,          -1.4,      0.070128, ,            -3,    -0.1206138, ,          -3.6,    -0.1919996, , 
         -2.6,   -0.08114192, ,          -3.2,    -0.1391888, ,          -3.8,    -0.2106247, ,          -3.2,    -0.1450502, ,          -3.6,    -0.1929017, ,          -0.8,     0.1442303, ,          -0.4,     0.1924783, ,          -1.2,    0.09426519, ,          -2.8,   -0.09676101, ,          -3.4,    -0.1681862, , 
         -2.4,   -0.05188092, ,            -3,    -0.1128872, ,          -3.6,    -0.1870076, ,            -3,     -0.121245, ,          -3.4,    -0.1691325, ,          -0.6,     0.1689478, ,          -0.2,      0.218008, ,            -1,     0.1186439, ,          -2.6,   -0.07303899, ,          -3.2,    -0.1441973, , 
         -2.2,   -0.02068932, ,          -2.8,   -0.08761474, ,          -3.4,    -0.1647077, ,          -2.8,   -0.09699439, ,          -3.2,    -0.1454221, ,          -0.4,     0.1942082, ,             0,     0.2444201, ,          -0.8,     0.1429941, ,          -2.4,   -0.04879088, ,            -3,    -0.1204057, , 
           -2,    0.01063631, ,          -2.6,   -0.06366022, ,          -3.2,    -0.1426013, ,          -2.6,   -0.07207155, ,            -3,    -0.1215022, ,             0,      0.244109, ,           0.2,     0.2681734, ,          -0.6,     0.1671825, ,          -2.2,   -0.02469792, ,          -2.8,   -0.09668364, , 
         -1.8,    0.03770653, ,          -2.4,   -0.03953252, ,            -3,    -0.1193656, ,          -2.4,   -0.04759144, ,          -2.8,   -0.09747568, ,           0.2,     0.2675487, ,           0.4,     0.2916187, ,          -0.4,     0.1915521, ,            -2,  -0.001360292, ,          -2.6,   -0.07289678, , 
         -1.6,    0.06373879, ,          -2.2,   -0.01439675, ,          -2.8,   -0.09476345, ,          -2.2,   -0.02296883, ,          -2.6,     -0.072789, ,           0.6,     0.3141462, ,           0.6,     0.3149318, ,          -0.2,     0.2165618, ,          -1.8,    0.02190453, ,          -2.4,   -0.04889392, , 
         -1.4,    0.08794846, ,            -2,    0.01155946, ,          -2.6,   -0.07041956, ,            -2,   0.001684434, ,          -2.4,   -0.04818709, ,           0.8,     0.3372598, ,           0.8,     0.3380283, ,             0,     0.2426781, ,          -1.6,     0.0459217, ,          -2.2,   -0.02497051, , 
         -1.2,     0.1110786, ,          -1.8,    0.03714255, ,          -2.4,   -0.04578436, ,          -1.8,    0.02650688, ,          -2.2,   -0.02376728, ,             1,       0.36041, ,             1,     0.3613144, ,           0.2,     0.2685337, ,          -1.4,    0.06989218, ,          -1.8,     0.0218839, , 
           -1,      0.133379, ,          -1.6,    0.06028929, ,          -2.2,   -0.02086096, ,          -1.6,    0.05100867, ,            -2,  0.0007082221, ,           1.2,     0.3836551, ,           1.2,      0.384559, ,           0.4,     0.2922463, ,          -1.2,    0.09423931, ,          -1.4,    0.07004549, , 
         -0.8,     0.1550098, ,          -1.4,    0.08356285, ,            -2,   0.003961557, ,          -1.4,     0.0751697, ,          -1.8,    0.02514984, ,           1.4,     0.4069014, ,           1.4,     0.4078144, ,           0.6,     0.3155713, ,            -1,     0.1183755, ,          -1.2,    0.09405919, , 
         -0.6,     0.1766481, ,            -1,     0.1290422, ,          -1.8,    0.02891941, ,          -1.2,    0.09984531, ,          -1.6,    0.04911248, ,           1.6,     0.4301018, ,           1.6,        0.4311, ,           0.8,     0.3386946, ,          -0.8,     0.1427416, ,          -0.8,     0.1425211, , 
         -0.4,     0.1987021, ,          -0.8,     0.1515992, ,          -1.6,    0.05448001, ,            -1,     0.1247895, ,          -1.4,    0.07275844, ,           1.8,     0.4533203, ,           1.8,     0.4543713, ,             1,     0.3619817, ,          -0.6,     0.1669223, ,          -0.6,     0.1667182, , 
         -0.2,     0.2204069, ,          -0.6,     0.1743023, ,          -1.4,    0.07988427, ,          -0.8,     0.1494332, ,          -1.2,    0.09663337, ,             2,     0.4765456, ,             2,     0.4775473, ,           1.2,     0.3853771, ,          -0.4,      0.191074, ,          -0.4,     0.1909127, , 
            0,     0.2423291, ,          -0.4,     0.1970823, ,          -1.2,     0.1048112, ,          -0.6,     0.1730085, ,            -1,     0.1212949, ,           2.2,     0.4996994, ,           2.2,     0.5007275, ,           1.4,     0.4086597, ,          -0.2,     0.2156805, ,          -0.2,     0.2152488, , 
          0.2,     0.2644919, ,          -0.2,     0.2194838, ,            -1,     0.1278636, ,          -0.4,     0.1962837, ,          -0.8,     0.1460678, ,           2.4,     0.5228499, ,           2.6,     0.5470448, ,           1.6,     0.4319451, ,             0,      0.240943, ,             0,     0.2398997, , 
          0.4,     0.2864983, ,             0,     0.2416072, ,          -0.8,     0.1509122, ,          -0.2,     0.2195759, ,          -0.6,     0.1710855, ,           2.6,     0.5458933, ,           2.8,     0.5702274, ,           1.8,     0.4551144, ,           0.2,      0.268299, ,           0.2,     0.2664589, , 
          0.6,     0.3083357, ,           0.2,     0.2636197, ,          -0.6,     0.1738042, ,             0,     0.2427203, ,          -0.4,     0.1964997, ,           2.8,     0.5690812, ,             3,     0.5933393, ,             2,     0.4783612, ,           0.4,     0.2926715, ,           0.4,     0.2929587, , 
          0.8,     0.3298641, ,           0.4,     0.2858401, ,          -0.4,     0.1963093, ,           0.4,     0.2887392, ,          -0.2,     0.2201181, ,             3,     0.5922197, ,           3.2,     0.6165172, ,           2.2,     0.5015516, ,           0.6,     0.3160002, ,           0.6,     0.3163939, , 
            1,     0.3503039, ,           0.6,     0.3083474, ,          -0.2,     0.2188527, ,           0.6,      0.311902, ,           0.4,      0.289896, ,           3.4,      0.638417, ,           3.4,     0.6396272, ,           2.4,      0.524736, ,           0.8,     0.3392562, ,           0.8,     0.3397966, , 
          1.2,     0.3711647, ,           0.8,     0.3308997, ,             0,     0.2416885, ,           0.8,     0.3349974, ,           0.6,     0.3131362, ,           3.6,     0.6614311, ,           3.6,     0.6624883, ,           2.6,     0.5479345, ,             1,     0.3626267, ,             1,     0.3631338, , 
          1.4,     0.3927436, ,             1,     0.3533758, ,           0.2,     0.2645432, ,             1,     0.3579795, ,           0.8,     0.3363409, ,           3.8,     0.6841326, ,           3.8,     0.6853606, ,           2.8,     0.5711124, ,           1.2,      0.385964, ,           1.2,     0.3864742, , 
          1.6,     0.4145075, ,           1.4,     0.3986019, ,           0.4,     0.2874254, ,           1.2,     0.3808724, ,             1,      0.359275, ,             4,     0.7069707, ,             4,     0.7083181, ,             3,     0.5943319, ,           1.6,     0.4326153, ,           1.4,     0.4098862, , 
          1.8,     0.4364996, ,           1.6,     0.4211673, ,           0.6,     0.3102753, ,           1.4,     0.4040255, ,           1.2,      0.382459, ,           4.2,     0.7298368, ,           4.2,     0.7311106, ,           3.2,       0.61748, ,           1.8,     0.4558647, ,           1.6,     0.4331331, , 
            2,      0.458759, ,           1.8,     0.4439222, ,           0.8,     0.3331751, ,           1.6,     0.4271843, ,           1.4,     0.4056646, ,           4.4,     0.7525831, ,           4.4,     0.7538421, ,           3.4,     0.6404954, ,             2,     0.4791093, ,             2,     0.4796868, , 
          2.2,      0.480976, ,             2,     0.4668447, ,             1,     0.3561109, ,           1.8,     0.4503546, ,           1.6,     0.4288884, ,           4.8,     0.7978305, ,           4.8,     0.7994068, ,           3.6,     0.6633598, ,           2.2,     0.5022395, ,           2.2,     0.5028955, , 
          2.4,     0.5032657, ,           2.2,     0.4897325, ,           1.2,     0.3789066, ,             2,     0.4734368, ,           1.8,     0.4520353, ,             5,     0.8203598, ,             5,     0.8221201, ,           3.8,     0.6863267, ,           2.4,     0.5254311, ,           2.4,     0.5261336, , 
          2.6,     0.5258137, ,           2.4,     0.5126706, ,           1.4,     0.4017912, ,           2.2,     0.4965952, ,             2,      0.475206, ,           5.2,     0.8428981, ,           5.2,     0.8447757, ,             4,     0.7092671, ,           2.6,     0.5486752, ,           2.6,     0.5493399, , 
          2.8,     0.5484408, ,           2.6,     0.5355854, ,           1.6,      0.424841, ,           2.4,     0.5196456, ,           2.2,     0.4983213, ,           5.6,     0.8878359, ,           5.4,     0.8674006, ,           4.2,     0.7321633, ,           2.8,     0.5719037, ,           2.8,     0.5725109, , 
            3,     0.5710403, ,           2.8,     0.5585005, ,           1.8,     0.4478011, ,           2.6,     0.5426322, ,           2.4,     0.5215027, ,           5.8,      0.908261, ,           5.6,     0.8899599, ,           4.4,     0.7550166, ,             3,      0.595089, ,             3,     0.5957239, , 
          3.2,     0.5938312, ,             3,     0.5814318, ,             2,     0.4708853, ,           2.8,     0.5657334, ,           2.6,     0.5445962, ,             6,     0.9303083, ,             9,      1.247049, ,           4.6,     0.7778492, ,           3.4,      0.641127, ,           3.2,     0.6187643, , 
          3.4,     0.6164037, ,           3.2,     0.6042289, ,           2.2,     0.4939173, ,             3,     0.5887465, ,           2.8,     0.5676616, ,           6.2,     0.9522274, ,           9.2,      1.269361, ,           4.8,     0.8006352, ,           3.6,     0.6641334, ,           3.4,     0.6417404, , 
          3.6,     0.6391959, ,           3.4,      0.627073, ,           2.4,     0.5169197, ,           3.2,     0.6116831, ,             3,     0.5907118, ,           6.4,     0.9740514, ,           9.4,      1.291126, ,             5,     0.8233621, ,           3.8,     0.6870781, ,           3.6,     0.6647883, , 
          3.8,     0.6617131, ,           3.6,     0.6499354, ,           2.8,     0.5629168, ,           3.4,     0.6346357, ,           3.2,     0.6137241, ,           6.6,     0.9957806, ,           9.6,      1.312651, ,           5.2,     0.8461209, ,             4,     0.7101229, ,           3.8,     0.6877989, , 
            4,     0.6840584, ,           3.8,     0.6726856, ,             3,     0.5859397, ,           3.6,     0.6575889, ,           3.4,     0.6367287, ,           6.8,      1.017415, ,           9.8,      1.334038, ,           5.4,     0.8688329, ,           4.2,      0.733022, ,             4,      0.710775, , 
          4.2,     0.7061852, ,             4,     0.6953644, ,           3.2,     0.6088901, ,             4,     0.7034916, ,           3.6,      0.659799, ,             7,      1.039026, ,            10,      1.355333, ,           5.6,     0.8914924, ,           4.4,     0.7559078, ,           4.2,     0.7337564, , 
