Alpha,T1_Re1.000_M0.00_N9.0, , Alpha,T1_Re2.000_M0.00_N9.0, , Alpha,T1_Re3.000_M0.00_N9.0, , Alpha,T1_Re4.000_M0.00_N9.0, , Alpha,T1_Re5.000_M0.00_N9.0, , Alpha,T1_Re6.000_M0.00_N9.0, , Alpha,T1_Re7.000_M0.00_N9.0, , Alpha,T1_Re8.000_M0.00_N9.0, , Alpha,T1_Re9.000_M0.00_N9.0, , Alpha,T1_Re10.000_M0.00_N9.0, , 
          -14,     -1.000207, ,         -14.6,    -0.9459338, ,           -15,     -1.317909, ,           -15,     -1.407107, ,           -15,     -1.459695, ,           -15,     -1.481351, ,           -15,     -1.493749, ,           -15,     -1.501026, ,           -15,     -1.504747, ,           -15,     -1.507258, , 
        -13.8,     -1.039838, ,         -14.4,    -0.9556738, ,         -14.8,     -1.305524, ,         -14.8,     -1.392613, ,         -14.8,     -1.439446, ,         -14.8,     -1.460197, ,         -14.8,      -1.47268, ,         -14.8,      -1.47978, ,         -14.8,     -1.483939, ,         -14.8,     -1.486522, , 
        -13.6,     -1.057001, ,         -14.2,    -0.9625875, ,         -14.6,     -1.292895, ,         -14.6,     -1.378472, ,         -14.6,     -1.419731, ,         -14.6,     -1.439101, ,         -14.6,     -1.451375, ,         -14.6,     -1.458621, ,         -14.6,     -1.462903, ,         -14.6,     -1.465529, , 
        -13.4,     -1.068039, ,           -14,    -0.9684941, ,         -14.4,     -1.279558, ,         -14.4,     -1.364813, ,         -14.4,     -1.400118, ,         -14.4,     -1.418374, ,         -14.4,     -1.430028, ,         -14.4,     -1.437264, ,         -14.4,     -1.441624, ,         -14.4,     -1.444312, , 
        -13.2,     -1.075692, ,         -13.8,    -0.9755108, ,         -14.2,     -1.266546, ,         -14.2,     -1.349419, ,         -14.2,     -1.380443, ,         -14.2,     -1.398096, ,         -14.2,     -1.408888, ,         -14.2,     -1.415854, ,         -14.2,     -1.420199, ,         -14.2,     -1.422893, , 
          -13,     -1.081128, ,         -13.6,    -0.9861584, ,           -14,     -1.253453, ,           -14,     -1.331906, ,           -14,     -1.360741, ,           -14,     -1.377712, ,           -14,     -1.388105, ,           -14,     -1.394575, ,           -14,     -1.398739, ,           -14,     -1.401374, , 
        -12.8,     -1.084967, ,         -13.4,     -1.003649, ,         -13.8,     -1.240214, ,         -13.8,     -1.313177, ,         -13.8,      -1.34084, ,         -13.8,     -1.357183, ,         -13.8,     -1.367266, ,         -13.8,     -1.373509, ,         -13.8,     -1.377366, ,         -13.8,     -1.379837, , 
        -12.6,     -1.087654, ,         -13.2,      -1.03424, ,         -13.6,     -1.226925, ,         -13.6,     -1.294543, ,         -13.6,     -1.320463, ,         -13.6,      -1.33611, ,         -13.6,     -1.346233, ,         -13.6,     -1.352347, ,         -13.6,     -1.356064, ,         -13.6,     -1.358336, , 
        -12.4,     -1.089704, ,           -13,     -1.094689, ,         -13.4,     -1.213704, ,         -13.4,     -1.275633, ,         -13.4,      -1.30051, ,         -13.4,     -1.315497, ,         -13.4,      -1.32497, ,         -13.4,     -1.330939, ,         -13.4,     -1.334725, ,         -13.4,     -1.337005, , 
        -12.2,     -1.091744, ,         -12.8,     -1.160711, ,         -13.2,     -1.200762, ,         -13.2,     -1.256632, ,         -13.2,     -1.280494, ,         -13.2,      -1.29485, ,         -13.2,     -1.303968, ,         -13.2,     -1.309703, ,         -13.2,     -1.313168, ,         -13.2,     -1.315242, , 
          -12,      -1.08828, ,         -12.6,     -1.177439, ,           -13,     -1.188418, ,           -13,     -1.237648, ,           -13,     -1.260434, ,           -13,      -1.27419, ,           -13,     -1.282952, ,           -13,     -1.288455, ,           -13,     -1.291742, ,           -13,     -1.293604, , 
