Alpha,T1_Re1.000_M0.00_N9.0, , Alpha,T1_Re2.000_M0.00_N9.0, , Alpha,T1_Re3.000_M0.00_N9.0, , Alpha,T1_Re4.000_M0.00_N9.0, , Alpha,T1_Re5.000_M0.00_N9.0, , Alpha,T1_Re6.000_M0.00_N9.0, , Alpha,T1_Re7.000_M0.00_N9.0, , Alpha,T1_Re8.000_M0.00_N9.0, , Alpha,T1_Re9.000_M0.00_N9.0, , Alpha,T1_Re10.000_M0.00_N9.0, , 
          -10,     -1.054744, ,         -10.6,     -1.140506, ,         -10.8,     -1.158188, ,           -11,     -1.148241, ,           -11,     -1.177324, ,           -11,     -1.194258, ,           -11,     -1.206826, ,           -11,     -1.216836, ,           -11,     -1.224774, ,           -11,     -1.230712, , 
         -9.8,     -1.038563, ,         -10.4,     -1.122954, ,         -10.6,     -1.142565, ,         -10.8,     -1.148717, ,         -10.8,     -1.155094, ,         -10.8,     -1.173012, ,         -10.8,     -1.185659, ,         -10.8,     -1.195632, ,         -10.8,     -1.203545, ,         -10.8,     -1.209463, , 
         -9.6,     -1.021666, ,         -10.2,     -1.104999, ,         -10.4,     -1.125856, ,         -10.6,      -1.13882, ,          -9.8,     -1.074379, ,         -10.6,     -1.151417, ,         -10.6,     -1.164403, ,         -10.6,     -1.174406, ,         -10.6,     -1.182304, ,         -10.6,     -1.188188, , 
         -9.4,     -1.004582, ,           -10,     -1.086687, ,         -10.2,     -1.108386, ,         -10.4,     -1.124368, ,          -9.6,     -1.055759, ,         -10.4,     -1.129054, ,         -10.4,     -1.143008, ,         -10.4,     -1.153151, ,         -10.4,     -1.161053, ,         -10.4,     -1.166891, , 
         -9.2,    -0.9871063, ,          -9.8,     -1.068053, ,           -10,     -1.090345, ,         -10.2,     -1.108051, ,          -9.4,     -1.037239, ,         -10.2,     -1.102598, ,         -10.2,     -1.121366, ,         -10.2,     -1.131855, ,         -10.2,     -1.139795, ,         -10.2,     -1.145572, , 
           -9,    -0.9692858, ,          -9.6,     -1.049128, ,          -9.8,     -1.071854, ,           -10,     -1.090663, ,          -9.2,     -1.017523, ,          -7.4,    -0.8338625, ,           -10,     -1.099162, ,           -10,     -1.110488, ,           -10,     -1.118525, ,           -10,     -1.124229, , 
         -8.8,    -0.9511532, ,          -9.4,     -1.029953, ,          -9.6,     -1.053006, ,          -9.8,     -1.072567, ,            -9,    -0.9975289, ,          -7.2,    -0.8127155, ,          -9.8,      -1.07336, ,          -9.8,     -1.088976, ,          -9.8,     -1.097224, ,          -9.8,     -1.102848, , 
         -8.6,    -0.9326884, ,          -9.2,     -1.010483, ,          -9.4,      -1.03404, ,          -9.6,     -1.053988, ,          -8.8,    -0.9772986, ,            -7,    -0.7913549, ,          -6.6,    -0.7528165, ,          -9.6,     -1.067054, ,          -9.6,      -1.07583, ,          -9.6,     -1.079611, , 
         -8.4,    -0.9135592, ,            -9,    -0.9907726, ,          -9.2,     -1.014469, ,          -9.4,     -1.035404, ,          -8.6,    -0.9568636, ,          -6.8,    -0.7697684, ,          -6.4,    -0.7304679, ,          -7.6,    -0.8629545, ,          -9.4,     -1.053138, ,          -9.4,     -1.057091, , 
         -8.2,    -0.8941277, ,          -8.8,    -0.9708357, ,            -9,    -0.9946463, ,          -9.2,     -1.015853, ,          -8.4,    -0.9362491, ,          -6.4,    -0.7285209, ,          -6.2,    -0.7080185, ,          -7.4,    -0.8419326, ,          -9.2,      -1.02695, ,          -9.2,     -1.037077, , 
