Alpha,T1_Re1.000_M0.00_N9.0, , Alpha,T1_Re2.000_M0.00_N9.0, , Alpha,T1_Re3.000_M0.00_N9.0, , Alpha,T1_Re4.000_M0.00_N9.0, , Alpha,T1_Re5.000_M0.00_N9.0, , Alpha,T1_Re6.000_M0.00_N9.0, , Alpha,T1_Re7.000_M0.00_N9.0, , Alpha,T1_Re8.000_M0.00_N9.0, , Alpha,T1_Re9.000_M0.00_N9.0, , 
        -10.6,     -1.135275, ,         -10.6,     -1.160584, ,         -10.6,     -1.167311, ,         -10.6,     -1.169556, ,          -7.2,    -0.8233698, ,          -4.8,     -0.552895, ,            -7,     -0.804205, ,          -8.6,    -0.9833683, ,         -10.6,     -1.200861, , 
        -10.4,     -1.117968, ,         -10.4,     -1.141471, ,         -10.4,     -1.148092, ,         -10.4,       -1.1504, ,            -7,    -0.8012926, ,          -4.6,    -0.5297733, ,          -6.8,    -0.7818867, ,          -8.4,    -0.9612875, ,         -10.4,     -1.180036, , 
        -10.2,       -1.1002, ,         -10.2,      -1.12212, ,         -10.2,     -1.128637, ,         -10.2,     -1.131031, ,          -6.8,    -0.7794258, ,          -4.4,    -0.5066239, ,          -6.6,    -0.7596042, ,          -8.2,    -0.9391065, ,         -10.2,     -1.158941, , 
          -10,     -1.081985, ,           -10,     -1.102555, ,           -10,     -1.108961, ,           -10,     -1.111457, ,          -6.6,    -0.7568546, ,          -4.2,    -0.4834894, ,          -6.4,    -0.7372844, ,            -8,     -0.916858, ,           -10,     -1.137649, , 
         -9.8,     -1.063313, ,          -9.8,     -1.082799, ,          -9.8,     -1.089079, ,          -9.6,      -1.06596, ,          -6.4,    -0.7342053, ,            -4,    -0.4604221, ,          -6.2,    -0.7145055, ,          -7.8,     -0.894536, ,          -9.8,     -1.116199, , 
         -9.6,     -1.044123, ,          -9.6,     -1.062883, ,          -9.6,     -1.069005, ,          -9.4,     -1.046923, ,          -6.2,    -0.7114729, ,          -3.8,    -0.4373014, ,            -6,    -0.6916206, ,          -7.6,    -0.8723692, ,          -9.6,     -1.094609, , 
         -9.4,     -1.024443, ,          -9.4,     -1.042847, ,          -9.4,     -1.048504, ,          -9.2,     -1.029374, ,            -6,    -0.6887954, ,          -3.6,    -0.4141172, ,          -5.8,    -0.6686911, ,          -7.4,    -0.8500074, ,          -9.4,     -1.072888, , 
         -9.2,     -1.004372, ,          -9.2,     -1.022832, ,          -9.2,     -1.023451, ,            -9,     -1.010395, ,          -5.8,    -0.6662081, ,          -3.4,    -0.3908119, ,          -5.6,    -0.6457734, ,          -7.2,     -0.827655, ,          -9.2,     -1.051064, , 
           -9,    -0.9868651, ,            -9,     -1.003206, ,            -9,    -0.9999857, ,          -8.8,    -0.9905396, ,          -5.6,    -0.6434965, ,          -3.2,    -0.3675721, ,          -5.4,    -0.6229143, ,            -7,    -0.8052697, ,          -8.4,    -0.9628514, , 
         -8.8,    -0.9680358, ,          -8.8,    -0.9830702, ,          -8.8,    -0.9804784, ,          -8.6,    -0.9701139, ,          -5.4,    -0.6206249, ,            -3,    -0.3443574, ,          -5.2,    -0.6000636, ,          -6.8,    -0.7828852, ,          -8.2,    -0.9405919, , 
         -8.6,    -0.9481175, ,          -8.4,     -0.933292, ,          -8.6,    -0.9623016, ,          -8.4,    -0.9493028, ,          -5.2,    -0.5976692, ,          -2.8,    -0.3209993, ,            -5,    -0.5770672, ,          -6.6,    -0.7603792, ,            -8,    -0.9182728, , 
         -8.4,    -0.9276963, ,          -8.2,    -0.9095358, ,          -8.4,    -0.9445141, ,          -8.2,    -0.9282094, ,            -5,    -0.5746439, ,          -2.6,    -0.2977537, ,          -4.8,    -0.5539425, ,          -6.4,    -0.7380585, ,          -7.8,    -0.8958776, , 
