Cl,T1_Re1.000_M0.00_N9.0, , Cl,T1_Re2.000_M0.00_N9.0, , Cl,T1_Re3.000_M0.00_N9.0, , Cl,T1_Re4.000_M0.00_N9.0, , Cl,T1_Re5.000_M0.00_N9.0, , Cl,T1_Re6.000_M0.00_N9.0, , Cl,T1_Re7.000_M0.00_N9.0, , Cl,T1_Re8.000_M0.00_N9.0, , Cl,T1_Re9.000_M0.00_N9.0, , Cl,T1_Re10.000_M0.00_N9.0, , 
     -1.08514,     0.0235292, ,     -1.174143,    0.01900321, ,      -1.18227,    0.02144657, ,     -1.195184,     0.0228412, ,     -1.219524,    0.01918728, ,     -1.236212,    0.01665312, ,     -1.248988,    0.01474373, ,     -1.258098,    0.01342038, ,     -1.266156,    0.01225993, ,     -1.272335,    0.01137566, , 
    -1.070293,      0.022403, ,     -1.157597,    0.01823777, ,     -1.172047,    0.01970811, ,     -1.173232,    0.02310383, ,     -1.198644,    0.01917187, ,     -1.215301,    0.01656684, ,     -1.227932,    0.01462788, ,     -1.238016,    0.01312068, ,     -1.245983,    0.01195223, ,      -1.25193,    0.01108578, , 
    -1.054744,    0.02133851, ,     -1.140506,    0.01752412, ,     -1.158188,    0.01848196, ,     -1.148241,    0.02386619, ,     -1.177324,    0.01922614, ,     -1.194258,    0.01649459, ,     -1.206826,    0.01451099, ,     -1.216836,    0.01297988, ,     -1.224774,    0.01179221, ,     -1.230712,    0.01091088, , 
    -1.038563,    0.02034092, ,     -1.122954,    0.01685487, ,     -1.142565,    0.01749761, ,     -1.148717,    0.02040371, ,     -1.155094,    0.01943957, ,     -1.173012,    0.01645024, ,     -1.185659,     0.0143955, ,     -1.195632,    0.01283337, ,     -1.203545,    0.01162587, ,     -1.209463,    0.01073117, , 
    -1.021666,     0.0194486, ,     -1.104999,    0.01622502, ,     -1.125856,    0.01665804, ,      -1.13882,    0.01843303, ,     -1.074379,    0.01453872, ,     -1.151417,    0.01646279, ,     -1.164403,    0.01428618, ,     -1.174406,    0.01268109, ,     -1.182304,    0.01145189, ,     -1.188188,     0.0105457, , 
    -1.004582,      0.018551, ,     -1.086687,    0.01563096, ,     -1.108386,    0.01591673, ,     -1.124368,    0.01718136, ,     -1.055759,    0.01388751, ,     -1.129054,    0.01661615, ,     -1.143008,    0.01419264, ,     -1.153151,    0.01252371, ,     -1.161053,    0.01126938, ,     -1.166891,    0.01035374, , 
   -0.9871063,    0.01771065, ,     -1.068053,    0.01506988, ,     -1.090345,     0.0152475, ,     -1.108051,    0.01621538, ,     -1.037239,    0.01319724, ,     -1.102598,    0.01757263, ,     -1.121366,    0.01413644, ,     -1.131855,    0.01236321, ,     -1.139795,    0.01107794, ,     -1.145572,    0.01015505, , 
   -0.9692858,     0.0169257, ,     -1.049128,     0.0145389, ,     -1.071854,    0.01463366, ,     -1.090663,     0.0154076, ,     -1.017523,    0.01271141, ,    -0.8338625,   0.009607863, ,     -1.099162,    0.01418056, ,     -1.110488,    0.01220497, ,     -1.118525,    0.01087818, ,     -1.124229,    0.00995015, , 
   -0.9511532,    0.01619418, ,     -1.029953,    0.01403281, ,     -1.053006,    0.01406184, ,     -1.072567,    0.01470077, ,    -0.9975289,    0.01226125, ,    -0.8127155,   0.009387617, ,      -1.07336,    0.01494021, ,     -1.088976,    0.01206278, ,     -1.097224,    0.01067323, ,     -1.102848,   0.009741019, , 
   -0.9326884,    0.01552223, ,     -1.010483,    0.01356093, ,      -1.03404,    0.01349271, ,     -1.053988,     0.0140591, ,    -0.9772986,    0.01184066, ,    -0.7913549,   0.009171398, ,    -0.7528165,    0.00782664, ,     -1.067054,    0.01198618, ,      -1.07583,     0.0104739, ,     -1.079611,   0.009532695, , 
