Cl,T1_Re1.000_M0.00_N9.0, , Cl,T1_Re2.000_M0.00_N9.0, , Cl,T1_Re3.000_M0.00_N9.0, , Cl,T1_Re4.000_M0.00_N9.0, , Cl,T1_Re5.000_M0.00_N9.0, , Cl,T1_Re6.000_M0.00_N9.0, , Cl,T1_Re7.000_M0.00_N9.0, , Cl,T1_Re8.000_M0.00_N9.0, , Cl,T1_Re9.000_M0.00_N9.0, , 
   0.06994435,   0.005819176, ,     0.1386129,   0.005405812, ,    0.09085914,   0.005176991, ,     0.1811886,   0.006002775, ,     0.4825049,   0.007074022, ,     0.7809459,   0.008076887, ,      0.484411,    0.00673132, ,     0.2986804,   0.006046126, ,     0.1597905,   0.005665566, , 
   0.09332784,   0.005814582, ,     0.1605709,   0.005745035, ,     0.1134742,   0.005415367, ,     0.2042948,   0.006134972, ,     0.5055267,   0.007170521, ,     0.8029482,   0.008258417, ,     0.5308293,   0.006852253, ,     0.3221056,   0.006112646, ,     0.1827226,   0.005595589, , 
    0.1167928,    0.00583002, ,      0.182487,   0.006097006, ,     0.1359384,    0.00568712, ,     0.2274405,   0.006261425, ,     0.5285295,   0.007249763, ,      0.825275,   0.008389207, ,     0.5539852,   0.006920474, ,     0.3454414,   0.006194875, ,     0.2059318,   0.005618817, , 
    0.1399748,   0.005822803, ,     0.2044942,   0.006435228, ,     0.1584453,   0.005934718, ,      0.250578,   0.006377419, ,     0.5516084,   0.007320411, ,     0.8474876,   0.008526525, ,     0.5771128,   0.006989307, ,     0.3688178,   0.006255344, ,     0.2292337,   0.005678356, , 
    0.1632147,   0.005832326, ,     0.2268575,   0.006655155, ,     0.1812375,   0.006130186, ,     0.2738114,   0.006460988, ,      0.574692,   0.007395793, ,      0.869613,   0.008673586, ,     0.6001124,   0.007068201, ,     0.3921829,   0.006315486, ,     0.2523814,   0.005790439, , 
    0.1862739,   0.005853529, ,     0.2493882,   0.006851078, ,     0.2041854,   0.006296328, ,     0.2968886,   0.006573841, ,     0.5977206,    0.00746965, ,     0.8916431,   0.008820427, ,     0.6229664,   0.007177722, ,     0.4154557,    0.00639239, ,     0.2756312,    0.00589244, , 
    0.2090096,   0.005896572, ,     0.2717618,   0.007041291, ,      0.227053,   0.006459834, ,     0.3197222,    0.00673289, ,     0.6206796,   0.007546418, ,     0.9136776,   0.008964747, ,     0.6458292,   0.007280939, ,     0.4386985,   0.006474688, ,     0.3224733,   0.006018208, , 
    0.2301192,   0.006231889, ,     0.2943842,   0.007220502, ,     0.2499871,    0.00659262, ,     0.3426348,   0.006859965, ,     0.6435547,   0.007637898, ,      1.000198,   0.009710453, ,     0.6687506,   0.007365147, ,     0.4619409,   0.006537373, ,     0.3458677,   0.006083468, , 
    0.2503673,   0.006776642, ,     0.3168842,   0.007361996, ,     0.2728892,   0.006733661, ,      0.365647,   0.006954871, ,     0.6888615,   0.007868854, ,       1.02152,   0.009891981, ,     0.6916837,   0.007448826, ,     0.4852066,   0.006593436, ,     0.3693016,   0.006142135, , 
    0.2709356,   0.007255691, ,     0.3397394,   0.007488937, ,     0.2959996,   0.006836811, ,     0.3888341,   0.007018397, ,     0.7115434,   0.007974145, ,      1.042582,     0.0100954, ,     0.7145723,   0.007539393, ,     0.5084436,   0.006648489, ,     0.3926575,   0.006215881, , 
    0.2920089,    0.00766671, ,     0.3622729,   0.007655215, ,     0.3188897,   0.006942193, ,     0.4118865,   0.007097679, ,     0.7342799,   0.008065093, ,      1.063253,    0.01032374, ,     0.7373551,   0.007632227, ,      0.531653,   0.006709851, ,     0.4159395,   0.006296359, , 
    0.3136925,   0.007981081, ,     0.3846555,   0.007831745, ,     0.3415902,   0.007099628, ,     0.4349179,   0.007191846, ,     0.7569336,   0.008156368, ,      1.083365,    0.01059629, ,     0.7596784,   0.007786974, ,     0.5779219,    0.00685136, ,     0.4392375,   0.006361728, , 
    0.3353709,   0.008233127, ,     0.4073016,   0.007972323, ,     0.3641382,   0.007257153, ,     0.4580155,    0.00725546, ,     0.8013803,   0.008446673, ,      1.102499,    0.01094942, ,     0.8042899,   0.008089345, ,     0.6008555,   0.006951706, ,     0.4625622,   0.006419933, , 
    0.3571974,    0.00847924, ,     0.4301091,   0.008095234, ,      0.387104,   0.007363402, ,     0.4811287,   0.007330068, ,     0.8234642,   0.008604928, ,      1.118482,    0.01161761, ,     0.8266363,   0.008223489, ,     0.6237863,   0.007050045, ,      0.485879,   0.006479238, , 
    0.4012709,   0.008874834, ,      0.452841,   0.008195525, ,      0.410089,   0.007440689, ,     0.5041413,   0.007415278, ,     0.8456804,   0.008733761, ,      1.458125,    0.05042395, ,      0.848902,   0.008363822, ,     0.6467658,   0.007129067, ,     0.5091169,   0.006529633, , 
    0.4232995,   0.009067074, ,      0.475688,   0.008279774, ,     0.4331443,   0.007522899, ,     0.5270333,   0.007510329, ,     0.8677415,   0.008874508, ,      1.445191,    0.05446182, ,     0.8711216,    0.00850076, ,     0.6697741,   0.007208422, ,     0.5554107,   0.006675395, , 
     0.445222,   0.009255162, ,     0.4984301,   0.008392106, ,     0.4789523,   0.007724732, ,     0.5499312,   0.007610078, ,     0.8896668,   0.009027859, ,      1.430013,    0.05914228, ,     0.8933495,   0.008631811, ,     0.6927425,   0.007293329, ,     0.5785208,   0.006753904, , 
    0.4672887,   0.009412057, ,     0.5209647,   0.008509395, ,      0.501973,   0.007795874, ,     0.5728645,   0.007707432, ,     0.9114619,   0.009189183, ,      1.412424,    0.06465904, ,     0.9594687,   0.009086229, ,     0.7156182,   0.007378519, ,     0.6015192,   0.006849942, , 
    0.4893535,   0.009566589, ,     0.5436213,   0.008612148, ,     0.5249407,    0.00788149, ,     0.5958229,   0.007777958, ,     0.9532284,   0.009801415, ,      1.391466,     0.0712015, ,      1.003276,   0.009370566, ,     0.7381272,   0.007518164, ,      0.624545,   0.006926435, , 
    0.5114016,   0.009704293, ,      0.566361,   0.008697266, ,     0.5477812,   0.007973432, ,     0.6187456,   0.007853355, ,     0.9744356,    0.01000686, ,      1.365898,    0.07907031, ,      1.024988,   0.009521227, ,     0.7604536,   0.007685028, ,      0.647616,   0.007001289, , 
    0.5330421,   0.009893788, ,     0.5889708,   0.008785014, ,     0.5705234,   0.008072881, ,     0.6416321,   0.007938295, ,      1.034616,    0.01094719, ,      1.333245,    0.08863422, ,       1.04654,   0.009677667, ,      0.782963,   0.007814035, ,     0.6706425,   0.007077615, , 
    0.5552422,   0.009990614, ,     0.6115064,   0.008889844, ,     0.5932176,   0.008187183, ,     0.6644037,   0.008023657, ,      1.151038,     0.0129407, ,      1.289234,     0.1006931, ,       1.06791,   0.009845067, ,     0.8053531,   0.007951257, ,      0.693601,   0.007156401, , 
    0.5771496,    0.01009594, ,     0.6338615,   0.009001323, ,     0.6158255,   0.008298661, ,     0.6870365,     0.0081285, ,      1.170225,    0.01333818, ,      1.222146,     0.1175639, ,      1.089056,    0.01002529, ,     0.8277432,    0.00808872, ,     0.7163731,   0.007266708, , 
    0.5987496,    0.01021793, ,     0.6560947,    0.00912764, ,     0.6385986,   0.008378472, ,     0.7094955,   0.008255096, ,      1.188238,     0.0138638, , , , ,      1.109901,    0.01022407, ,     0.8501009,    0.00821867, ,     0.7386455,   0.007451085, , 
    0.6199786,    0.01036789, ,     0.7004858,   0.009358703, ,     0.6613402,   0.008459417, ,     0.7319344,   0.008374805, ,      1.205365,    0.01447863, , , , ,      1.130317,    0.01044575, ,     0.8724678,   0.008342727, ,     0.7613214,   0.007559835, , 
    0.6404551,    0.01058518, ,      0.722744,   0.009436734, ,     0.6839859,   0.008544493, ,     0.7544786,   0.008477923, ,      1.223178,    0.01498968, , , , ,      1.150062,    0.01070264, ,     0.8948157,   0.008464199, ,     0.7838095,   0.007695477, , 
     0.661346,    0.01066643, ,     0.7448345,   0.009524472, ,     0.7065371,   0.008640968, ,     0.7769935,   0.008574064, ,      1.241247,    0.01544936, , , , ,      1.168657,    0.01102106, ,     0.9169678,   0.008619768, ,     0.8062479,   0.007837395, , 
    0.6818485,    0.01074856, ,     0.7881708,   0.009739822, ,     0.7289211,   0.008752777, ,     0.7993775,    0.00868084, ,      1.259046,     0.0159198, , , , ,      1.184862,    0.01146412, ,      0.939222,   0.008738802, ,     0.8287116,   0.007964768, , 
    0.7015423,    0.01084435, ,     0.8093288,   0.009875185, ,     0.7510858,   0.008883149, ,     0.8430908,   0.009015041, ,      1.276851,    0.01636665, , , , ,      1.197468,    0.01237277, ,     0.9614087,   0.008864917, ,     0.8511816,   0.008083271, , 
    0.7208699,    0.01096579, ,     0.8299885,    0.01001728, ,     0.7732082,   0.009016524, ,     0.8650593,   0.009150239, ,      1.294104,    0.01685294, , , , ,      1.221169,    0.01261658, ,     0.9834958,   0.008989895, ,     0.8736592,   0.008201296, , 
    0.7418197,    0.01113709, ,     0.8505235,    0.01009749, ,     0.7954287,   0.009123772, ,       0.88694,   0.009285545, ,      1.310961,     0.0173572, , , , ,      1.242401,    0.01279848, ,        1.0055,   0.009121045, ,     0.8960705,   0.008315062, , 
     0.765285,    0.01145153, ,     0.8701792,     0.0101886, ,     0.8175869,   0.009224314, ,     0.9086151,   0.009435485, ,      1.327399,    0.01787861, , , , ,       1.26308,     0.0129875, ,      1.027407,    0.00925725, ,     0.9407049,   0.008564779, , 
    0.7918813,    0.01163015, ,     0.8890649,    0.01030503, ,     0.8395653,   0.009331623, ,      0.930001,    0.00960342, ,      1.343377,    0.01841804, , , , ,      1.280533,    0.01354528, ,      1.049201,   0.009397298, ,     0.9629701,   0.008685055, , 
    0.8197961,     0.0117836, ,     0.9096605,    0.01049029, ,     0.8611704,   0.009468622, ,     0.9494442,    0.01008965, ,      1.358842,    0.01897684, , , , ,      1.296837,    0.01421278, ,      1.070867,   0.009541717, ,     0.9851457,   0.008803301, , 
    0.8475134,    0.01196254, ,     0.9334103,    0.01075274, ,     0.8822585,   0.009656607, ,     0.9702646,    0.01029006, ,      1.373732,    0.01955664, , , , , , , ,      1.092398,   0.009692283, ,      1.007253,    0.00892777, , 
    0.8682778,    0.01214311, ,     0.9831406,    0.01119976, ,     0.9034704,   0.009790108, ,     0.9907004,    0.01049796, ,      1.387969,    0.02015927, , , , , , , ,      1.113752,   0.009848846, ,      1.159124,   0.009891084, , 
    0.8880335,    0.01236142, ,      1.003292,    0.01148536, ,     0.9243882,   0.009918827, ,      1.010568,    0.01071441, ,      1.401463,    0.02078684, , , , , , , ,      1.134911,    0.01001518, ,      1.180229,    0.01004658, , 
    0.9069985,    0.01271954, ,      1.022936,     0.0118509, ,     0.9446645,    0.01006393, ,      1.029559,    0.01094093, ,      1.413914,    0.02143831, , , , , , , ,      1.155795,    0.01019042, ,      1.201064,    0.01020781, , 
    0.9277555,    0.01286416, ,      1.042967,    0.01216859, ,     0.9637973,    0.01025485, ,      1.047127,    0.01117617, ,      1.424389,    0.02214729, , , , , , , ,       1.17631,    0.01038119, ,        1.2215,    0.01037699, , 
    0.9481931,     0.0130612, ,      1.063018,    0.01247494, ,     0.9806507,    0.01066774, ,      1.066135,    0.01145583, ,      1.432844,    0.02284624, , , , , , , ,      1.196215,    0.01059036, ,      1.241288,    0.01055847, , 
    0.9681271,    0.01332751, ,      1.082948,    0.01278737, ,      1.000144,    0.01089037, ,      1.111616,    0.01217294, ,      1.438666,    0.02359077, , , , , , , ,      1.215074,    0.01083003, ,      1.259839,    0.01075712, , 
    0.9869665,    0.01374294, ,      1.102718,    0.01310989, ,      1.023598,    0.01116541, ,      1.131204,    0.01254012, ,      1.444304,    0.02441243, , , , , , , ,      1.232082,    0.01111739, ,      1.277277,    0.01098903, , 
     1.004503,    0.01432285, ,      1.122299,    0.01344486, ,      1.048648,    0.01147002, ,      1.150587,    0.01291986, ,      1.449696,    0.02531809, , , , , , , ,      1.249989,    0.01154164, ,      1.299328,    0.01133165, , 
     1.024588,    0.01456083, ,      1.141665,    0.01379383, ,      1.069135,     0.0117692, ,      1.169758,    0.01331173, ,      1.454623,     0.0263166, , , , , , , ,      1.272527,    0.01191069, ,      1.319083,    0.01173919, , 
     1.044282,    0.01484321, ,      1.160794,      0.014158, ,      1.089223,    0.01208258, ,      1.188709,    0.01371549, ,      1.458836,    0.02741594, , , , , , , ,      1.290853,    0.01239108, ,      1.339172,     0.0119999, , 
     1.063487,    0.01517974, ,      1.179665,    0.01453805, ,       1.10912,    0.01241064, ,      1.207279,    0.01414834, ,      1.462332,    0.02863066, , , , , , , ,      1.310949,    0.01264412, ,      1.359681,    0.01219941, , 
     1.082175,    0.01556963, ,      1.198252,    0.01493535, ,       1.12881,    0.01275354, ,      1.224836,    0.01468185, ,       1.46505,     0.0299731, , , , , , , ,      1.331357,    0.01284908, ,      1.380219,    0.01238518, , 
     1.100407,    0.01600141, ,      1.216531,    0.01535066, ,      1.148279,    0.01311144, ,      1.241693,    0.01527518, ,      1.466769,    0.03145567, , , , , , , ,      1.351629,    0.01305887, ,      1.400589,    0.01257962, , 
     1.118193,    0.01647025, ,       1.23448,    0.01578437, ,      1.167514,    0.01348448, ,      1.258863,    0.01580943, ,        1.4676,    0.03309938, , , , , , , ,      1.370786,    0.01338099, ,      1.420404,    0.01282458, , 
     1.135519,    0.01697461, ,       1.25207,    0.01623744, ,      1.186499,    0.01387286, ,      1.276246,    0.01629606, ,      1.467215,    0.03491394, , , , , , , ,      1.386792,    0.01402745, ,      1.438649,    0.01322528, , 
     1.152357,    0.01751469, ,      1.269297,    0.01670769, ,      1.205219,    0.01427678, ,      1.293108,    0.01681662, ,      1.466126,    0.03689028, , , , , , , ,      1.401122,    0.01481972, ,      1.456247,    0.01367331, , 
     1.168638,    0.01809511, ,      1.286075,    0.01720184, ,      1.223656,    0.01469656, ,      1.309536,    0.01735765, ,      1.463377,    0.03909381, , , , , , , ,      1.412585,    0.01586982, ,      1.473888,    0.01409441, , 
     1.184322,    0.01871694, ,      1.302381,    0.01771906, ,      1.241786,    0.01513329, ,      1.325499,     0.0179189, ,      1.459132,    0.04156084, , , , , , , , , , ,      1.490346,    0.01461028, , 
     1.199362,    0.01938196, ,      1.318135,    0.01826329, ,      1.259272,    0.01562192, ,      1.340949,    0.01850135, ,      1.453134,     0.0442965, , , , , , , , , , ,      1.505957,    0.01517988, , 
     1.213678,    0.02009443, ,      1.333228,    0.01884072, ,      1.276603,    0.01610561, ,      1.355828,    0.01910628, ,      1.445352,    0.04737076, , , , , , , , , , ,      1.520659,    0.01580274, , 
     1.227193,    0.02085736, ,      1.347613,    0.01945033, ,      1.292944,    0.01667195, ,      1.370064,    0.01973525, ,      1.435548,    0.05082257, , , , , , , , , , ,      1.534402,     0.0164765, , 
     1.239881,    0.02166668, ,      1.361295,    0.02008572, ,      1.308799,     0.0172619, ,       1.38357,    0.02039006, ,      1.423581,    0.05477778, , , , , , , , , , ,      1.547156,    0.01719591, , 
     1.251491,    0.02253811, ,      1.374182,    0.02073836, ,      1.324637,    0.01782395, ,      1.396193,    0.02107182, ,      1.409212,    0.05938079, , , , , , , , , , ,      1.558911,    0.01795305, , 
     1.261697,    0.02346763, ,      1.385823,    0.02141505, ,      1.340001,    0.01840266, ,      1.407406,    0.02177472, ,       1.39229,    0.06483738, , , , , , , , , , ,       1.56961,    0.01873729, , 
      1.26998,    0.02444822, ,      1.395726,    0.02211505, ,      1.354766,    0.01900612, ,      1.416635,    0.02253026, ,      1.371744,    0.07136764, , , , , , , , , , ,      1.578587,     0.0195258, , 
      1.27581,    0.02545038, ,       1.40298,    0.02285425, ,      1.368859,    0.01963574, ,       1.42266,    0.02328954, ,      1.346145,    0.07931932, , , , , , , , , , ,      1.581957,    0.02053978, , 
     1.281883,    0.02643717, ,      1.409747,    0.02366265, ,      1.382192,    0.02029321, ,      1.428119,    0.02412245, ,      1.312769,    0.08911402, , , , , , , , , , ,      1.584396,    0.02140228, , 
     1.287962,    0.02745299, ,      1.416204,    0.02454545, ,      1.394507,    0.02097745, ,      1.433391,    0.02503886, ,      1.265341,     0.1019749, , , , , , , , , , ,      1.587754,    0.02231325, , 
     1.293508,    0.02854096, ,      1.422113,    0.02550857, ,      1.405413,      0.021685, ,      1.438171,    0.02604504, ,      1.196606,     0.1193386, , , , , , , , , , ,      1.591644,    0.02327004, , 
     1.298018,    0.02975314, ,      1.427427,    0.02656251, ,      1.413899,     0.0224286, ,      1.442295,    0.02715082, , , , , , , , , , , , , ,       1.59584,    0.02427496, , 
     1.300791,     0.0311661, ,      1.432034,    0.02771644, ,      1.420061,    0.02320674, ,      1.445761,     0.0283699, , , , , , , , , , , , , ,      1.600063,    0.02532889, , 
     1.301298,    0.03283637, ,      1.435834,    0.02898012, ,      1.425897,    0.02405891, ,      1.448347,    0.02971276, , , , , , , , , , , , , ,      1.604293,    0.02643717, , 
     1.300371,    0.03469695, ,      1.438856,    0.03036811, ,       1.43143,    0.02499344, ,      1.450076,    0.03119531, , , , , , , , , , , , , ,      1.608482,    0.02760624, , 
     1.297956,    0.03677139, ,      1.440886,    0.03188992, ,      1.436442,    0.02601758, ,      1.450845,    0.03283304, , , , , , , , , , , , , ,      1.612467,    0.02883914, , 
     1.293857,    0.03908676, ,      1.442005,    0.03356371, ,      1.440739,    0.02713931, ,       1.45051,    0.03464104, , , , , , , , , , , , , ,      1.616237,    0.03014478, , 
     1.287969,     0.0416826, ,      1.441973,    0.03540006, ,      1.444343,    0.02837353, ,      1.449053,    0.03664148, , , , , , , , , , , , , ,      1.619736,    0.03152909, , 
     1.280131,    0.04460625, ,      1.440828,    0.03742525, ,      1.447106,    0.02972934, ,      1.446242,    0.03885126, , , , , , , , , , , , , ,      1.625785,    0.03271901, , 
     1.270073,    0.04790853, ,      1.438319,    0.03964956, ,      1.448988,    0.03122078, ,       1.44206,    0.04130156, , , , , , , , , , , , , ,      1.628922,    0.03422782, , 
     1.257641,    0.05167655, ,      1.434461,    0.04211107, ,      1.449924,    0.03286559, ,      1.436809,    0.04395804, , , , , , , , , , , , , ,      1.631129,    0.03586062, , 
     1.242738,    0.05601087, ,      1.428997,    0.04482577, ,      1.449776,    0.03467287, ,       1.42945,    0.04696901, , , , , , , , , , , , , ,      1.632455,    0.03762253, , 
     1.224168,    0.06123034, ,      1.421906,    0.04785215, ,       1.44851,    0.03666925, ,      1.420133,    0.05035396, , , , , , , , , , , , , ,       1.63303,    0.03952428, , 
     1.201823,    0.06762675, ,      1.412821,    0.05124985, ,      1.445948,    0.03886544, ,      1.408785,    0.05420331, , , , , , , , , , , , , ,      1.632385,    0.04157908, , 
     1.173229,    0.07597508, ,      1.401764,    0.05511786, ,      1.442022,     0.0412964, ,      1.395171,    0.05865489, , , , , , , , , , , , , ,      1.630652,    0.04381564, , 
     1.130457,    0.08838515, ,      1.388326,    0.05959198, ,      1.436907,     0.0439431, ,      1.379271,    0.06388108, , , , , , , , , , , , , ,      1.627551,    0.04628023, , 
, , ,      1.372521,    0.06485159, ,      1.429871,    0.04691995, ,      1.360289,    0.07010189, , , , , , , , , , , , , ,      1.622421,    0.04903793, , 
, , ,      1.353321,    0.07111911, ,       1.42101,    0.05024948, ,      1.337052,     0.0775588, , , , , , , , , , , , , ,      1.615643,    0.05217625, , 
, , ,       1.32947,    0.07869714, ,       1.41019,    0.05402243, ,      1.307536,    0.08661632, , , , , , , , , , , , , ,      1.606534,    0.05579719, , 
, , ,      1.298467,    0.08799015, ,      1.397227,    0.05836178, ,      1.268179,    0.09789706, , , , , , , , , , , , , ,      1.593699,    0.06017631, , 
, , ,      1.256258,    0.09976368, ,       1.38209,    0.06342556, ,      1.216473,     0.1117533, , , , , , , , , , , , , ,      1.574788,    0.06577589, , 
, , ,      1.190878,     0.1163593, ,      1.364145,    0.06941102, ,      1.131095,      0.133086, , , , , , , , , , , , , ,      1.540665,    0.07417428, , 
, , , , , ,      1.342351,     0.0765229, , , , , , , , , , , , , , , , , , , , 
, , , , , ,      1.315175,    0.08504196, , , , , , , , , , , , , , , , , , , , 
, , , , , ,      1.279678,     0.0954467, , , , , , , , , , , , , , , , , , , , 
, , , , , ,       1.23415,     0.1079431, , , , , , , , , , , , , , , , , , , , 
, , , , , ,       1.16886,     0.1247353, , , , , , , , , , , , , , , , , , , , 

