Cl,T1_Re1.000_M0.00_N9.0, , Cl,T1_Re2.000_M0.00_N9.0, , Cl,T1_Re3.000_M0.00_N9.0, , Cl,T1_Re4.000_M0.00_N9.0, , Cl,T1_Re5.000_M0.00_N9.0, , Cl,T1_Re6.000_M0.00_N9.0, , Cl,T1_Re7.000_M0.00_N9.0, , Cl,T1_Re8.000_M0.00_N9.0, , Cl,T1_Re9.000_M0.00_N9.0, , 
    -1.168351,    0.01809298, ,     -1.198009,    0.01493423, ,     -1.204984,    0.01427554, ,     -1.207048,    0.01414667, ,    -0.8676361,   0.008874179, ,    -0.6219762,   0.007326072, ,     -0.848807,   0.008363555, ,     -1.027267,   0.009256831, ,     -1.241058,    0.01055722, , 
    -1.152092,    0.01751295, ,     -1.179439,    0.01453708, ,     -1.186281,    0.01387176, ,     -1.188491,    0.01371426, ,    -0.8455808,   0.008733482, ,    -0.5990382,   0.007238491, ,    -0.8265465,   0.008223249, ,     -1.005366,   0.009120672, ,     -1.221285,     0.0103759, , 
    -1.135275,    0.01697317, ,     -1.160584,    0.01415717, ,     -1.167311,    0.01348352, ,     -1.169556,    0.01331063, ,    -0.8233697,   0.008604678, ,     -0.552895,   0.007093877, ,     -0.804205,   0.008089119, ,    -0.9833683,    0.00898956, ,     -1.200861,    0.01020686, , 
    -1.117968,    0.01646909, ,     -1.141471,    0.01379313, ,     -1.148092,    0.01311061, ,       -1.1504,    0.01291888, ,    -0.8012927,   0.008446283, ,    -0.5297733,   0.007028912, ,    -0.7818867,   0.007947913, ,    -0.9612874,   0.008864612, ,     -1.180036,    0.01004576, , 
      -1.1002,    0.01600051, ,      -1.12212,    0.01344427, ,     -1.128637,    0.01275283, ,     -1.131031,    0.01253926, ,    -0.7794258,   0.008260414, ,    -0.5066239,   0.006969747, ,    -0.7596042,   0.007786653, ,    -0.9391065,   0.008738518, ,     -1.158941,   0.009890378, , 
    -1.081985,    0.01556897, ,     -1.102555,    0.01310941, ,     -1.108961,    0.01241005, ,     -1.111457,    0.01217221, ,    -0.7568547,   0.008156218, ,    -0.4834894,   0.006889767, ,    -0.7372844,   0.007632082, ,     -0.916858,   0.008619512, ,     -1.137649,   0.009741162, , 
    -1.063313,    0.01517933, ,     -1.082799,      0.012787, ,     -1.089079,    0.01208211, ,      -1.06596,    0.01145484, ,    -0.7342053,   0.008064957, ,    -0.4604222,   0.006812117, ,    -0.7145055,   0.007539282, ,     -0.894536,    0.00850322, ,     -1.116199,   0.009597215, , 
    -1.044123,    0.01484305, ,     -1.062883,    0.01247465, ,     -1.069005,    0.01176884, ,     -1.046923,    0.01117475, ,    -0.7114729,   0.007974029, ,    -0.4373014,   0.006729623, ,    -0.6916206,   0.007448726, ,    -0.8723692,   0.008342491, ,     -1.094609,   0.009457496, , 
    -1.024443,     0.0145609, ,     -1.042847,    0.01216837, ,     -1.048504,    0.01146964, ,     -1.029374,    0.01093972, ,    -0.6887954,   0.007868709, ,    -0.4141172,   0.006670041, ,    -0.6686911,   0.007365055, ,    -0.8500074,   0.008218435, ,     -1.072888,   0.009320335, , 
    -1.004372,    0.01432306, ,     -1.022832,     0.0118507, ,     -1.023451,    0.01116493, ,     -1.010395,    0.01071332, ,    -0.6662081,   0.007753077, ,    -0.3908119,   0.006610206, ,    -0.6457734,   0.007280841, ,     -0.827655,    0.00808849, ,     -1.051064,   0.009186696, , 
